telegram_index,n_cited,citation_class
3_atel,0,0
2_atel,0,0
4_atel,0,0
5_atel,0,0
6_atel,0,0
7_atel,0,0
8_atel,2,0
10_atel,0,0
11_atel,0,0
31_gcn,2,0
32_gcn,1,0
33_gcn,2,0
34_gcn,2,0
35_gcn,1,0
37_gcn,2,0
36_gcn,2,0
43_gcn,2,0
38_gcn,0,0
42_gcn,0,0
41_gcn,4,1
39_gcn,0,0
40_gcn,7,1
44_gcn,1,0
45_gcn,1,0
46_gcn,1,0
47_gcn,0,0
48_gcn,2,0
49_gcn,0,0
50_gcn,0,0
51_gcn,1,0
52_gcn,1,0
53_gcn,2,0
54_gcn,4,1
55_gcn,1,0
56_gcn,1,0
57_gcn,0,0
58_gcn,0,0
59_gcn,1,0
61_gcn,9,1
60_gcn,2,0
62_gcn,0,0
63_gcn,2,0
64_gcn,1,0
65_gcn,0,0
66_gcn,3,1
67_gcn,1,0
17_atel,0,0
68_gcn,0,0
69_gcn,4,1
71_gcn,0,0
70_gcn,1,0
72_gcn,0,0
73_gcn,7,1
75_gcn,5,1
74_gcn,2,0
76_gcn,0,0
77_gcn,0,0
81_gcn,1,0
78_gcn,12,1
79_gcn,4,1
80_gcn,4,1
82_gcn,8,1
83_gcn,4,1
84_gcn,0,0
85_gcn,2,0
86_gcn,1,0
87_gcn,5,1
88_gcn,3,1
89_gcn,0,0
90_gcn,0,0
91_gcn,0,0
92_gcn,2,0
93_gcn,0,0
95_gcn,0,0
94_gcn,3,1
98_gcn,4,1
97_gcn,1,0
96_gcn,5,1
100_gcn,2,0
99_gcn,6,1
101_gcn,1,0
102_gcn,2,0
103_gcn,3,1
104_gcn,4,1
105_gcn,3,1
106_gcn,1,0
28_atel,0,0
107_gcn,3,1
108_gcn,4,1
109_gcn,7,1
110_gcn,2,0
111_gcn,1,0
117_gcn,5,1
112_gcn,1,0
113_gcn,1,0
114_gcn,0,0
115_gcn,1,0
116_gcn,4,1
118_gcn,0,0
119_gcn,0,0
120_gcn,2,0
121_gcn,0,0
122_gcn,0,0
