telegram_index,telescope,source
3_atel,"['gamma', 'bepposax']",['source not found']
2_atel,['bepposax'],['grb']
4_atel,"['fermi', 'fast', 'most', 'goodman', 'gamma']",['grb']
5_atel,['telescope not found'],"['grb', 'grb 971214']"
6_atel,['ogle'],['grb980109']
7_atel,['telescope not found'],"['grb', 'grb 971214', 'galaxy']"
8_atel,['rxte'],"['x-ray source', 'radio source', 'bubble']"
10_atel,['gamma'],"['grb', 'supernova', 'outflow', 'total']"
11_atel,['rxte'],"['neutron star', '4u 1626-67', 'pulsar', 'gro j1744-28', 'total', 'star']"
31_gcn,['most'],"['grb', 'optical remnant', 'grb 970508', 'sao', 'galaxy']"
32_gcn,['telescope not found'],['star']
33_gcn,['telescope not found'],"['grb', 'star']"
34_gcn,['telescope not found'],['source not found']
35_gcn,['telescope not found'],['source not found']
37_gcn,['telescope not found'],['source not found']
36_gcn,['telescope not found'],['grb']
43_gcn,['telescope not found'],['radio source']
38_gcn,['most'],"['grb', 'star']"
42_gcn,['telescope not found'],"['grb', 'star']"
41_gcn,['telescope not found'],"['grb', 'radio source', 'galaxy']"
39_gcn,['telescope not found'],"['grb', 'star']"
40_gcn,['telescope not found'],"['grb', 'radio source', 'grb 970508']"
44_gcn,['telescope not found'],"['galaxy', 'radio source']"
45_gcn,['wiyn telescope'],['source not found']
46_gcn,['telescope not found'],['galaxy']
47_gcn,['telescope not found'],"['grb', 'radio source']"
48_gcn,['asiago'],['galaxy']
49_gcn,"['bepposax', 'gamma']","['x-ray source', 'radio source', 'gamma-ray burst']"
50_gcn,['telescope not found'],"['grb', 'radio source']"
51_gcn,['gamma'],['total']
52_gcn,['nordic optical telescope'],"['galaxy', 'total']"
53_gcn,"['bepposax', 'gamma']",['gamma-ray burst']
54_gcn,['telescope not found'],['grb']
55_gcn,['telescope not found'],"['grb', 'radio source', 'galaxy']"
56_gcn,['bepposax'],"['grb', 'total', 'star']"
57_gcn,['telescope not found'],"['galaxy', 'grb']"
58_gcn,"['rossi x-ray timing explorer', 'rxte']",['grb']
59_gcn,"['bepposax', 'rosat']","['x-ray source', 'grb', 'total']"
61_gcn,['bepposax'],['grb980425']
60_gcn,['bepposax'],"['x-ray source', 'group of', 'grb', 'supernova', 'grb 980425', 'group of galaxies', 'galaxy']"
62_gcn,['bepposax'],"['x-ray source', 'grb', 'grb 980425']"
63_gcn,"['australian telescope compact array', 'bepposax']","['x-ray source', 'supernova', 'radio source', 'galaxy']"
64_gcn,['bepposax'],"['x-ray source', 'grb', 'grb 980425']"
65_gcn,['bepposax'],"['x-ray source', 'grb', 'grb 980425']"
66_gcn,"['gamma', 'palomar']","['gamma-ray burst', 'grb']"
67_gcn,['bepposax'],"['grb', 'grb 980425']"
17_atel,['rossi x-ray timing explorer'],"['total', 'star']"
68_gcn,"['gamma', 'master']",['source not found']
69_gcn,['bepposax'],['grb980425']
71_gcn,['australia telescope compact array'],"['supernova', 'radio source']"
70_gcn,"['gamma', 'fast']","['grb', 'supernova', 'grb 980425', 'radio source', 'galaxy']"
72_gcn,['bepposax'],['grb']
73_gcn,['bepposax'],['source not found']
75_gcn,['bepposax'],['source not found']
74_gcn,['bepposax'],['source not found']
76_gcn,['gamma'],['transient event']
77_gcn,['bepposax'],"['x-ray source', 'grb']"
81_gcn,['bepposax'],"['grb', 'total']"
78_gcn,"['bepposax', 'nordic optical telescope']",['grb']
79_gcn,['palomar'],"['grb', 'star']"
80_gcn,['bepposax'],['grb']
82_gcn,['bepposax'],['grb']
83_gcn,['bepposax'],['grb']
84_gcn,['nordic optical telescope'],"['galaxy', 'grb']"
85_gcn,['bepposax'],['grb']
86_gcn,['bepposax'],['grb']
87_gcn,['palomar'],"['grb', 'star']"
88_gcn,['palomar'],"['galaxy', 'grb']"
89_gcn,['telescope not found'],"['x-ray source', 'grb', 'radio source']"
90_gcn,['bepposax'],['source not found']
91_gcn,['bepposax'],['grb']
92_gcn,['palomar'],"['grb', 'star']"
93_gcn,['gamma'],"['sgr', 'transient event']"
95_gcn,"['rossi x-ray timing explorer', 'gamma', 'rosat']","['sgr 1806-20', 'sgr', 'star']"
94_gcn,"['rossi x-ray timing explorer', 'gamma', 'rosat']","['sgr 1806-20', 'sgr', 'star']"
98_gcn,['telescope not found'],"['grb971214', 'grb']"
97_gcn,['telescope not found'],"['sgr', 'star']"
96_gcn,['telescope not found'],['grb']
100_gcn,['rxte'],['grb']
99_gcn,['bepposax'],['grb']
101_gcn,"['bepposax', 'gamma', 'isaac newton telescope']",['grb']
102_gcn,"['bepposax', 'planck']",['grb']
103_gcn,"['bepposax', 'planck']",['grb']
104_gcn,['telescope not found'],['grb']
105_gcn,"['bepposax', 'palomar']",['source not found']
106_gcn,"['bepposax', 'rosat']","['x-ray source', 'grb', 'total']"
28_atel,['telescope not found'],"['milky way', 'star', 'microlensing event']"
107_gcn,"['rxte', 'gamma']",['sgr']
108_gcn,['bepposax'],['grb']
109_gcn,"['bepposax', 'nordic optical telescope']","['grb', 'star']"
110_gcn,['gamma'],['source not found']
111_gcn,"['gamma', 'bepposax']",['source not found']
117_gcn,['palomar'],"['grb', 'galaxy', 'total', 'star']"
112_gcn,"['bepposax', 'gamma']","['gamma-ray burst', 'grb']"
113_gcn,['most'],['sgr']
114_gcn,['telescope not found'],"['grb', 'galaxy', 'total', 'star']"
115_gcn,['gamma'],['source not found']
116_gcn,['telescope not found'],['sgr']
118_gcn,['telescope not found'],"['sao', 'total', 'star']"
119_gcn,['telescope not found'],['grb']
120_gcn,"['u.s. naval observatory', 'gamma']","['gamma-ray burst', 'eclipsing binary', 'star']"
121_gcn,['most'],"['supernova remnant', 'supernova']"
122_gcn,['gamma'],"['supernova remnant', 'supernova']"
123_gcn,"['bepposax', 'rxte', 'gamma']","['grb', 'total']"
124_gcn,['telescope not found'],['source not found']
125_gcn,['bepposax'],"['x-ray source', 'grb']"
126_gcn,['telescope not found'],['grb']
127_gcn,"['bepposax', 'rxte', 'rosat']",['x-ray source']
128_gcn,"['bepposax', 'palomar', 'rxte']","['x-ray source', 'grb', 'radio source', 'star']"
134_gcn,['telescope not found'],"['grb', 'star']"
129_gcn,['telescope not found'],['source not found']
130_gcn,"['bepposax', 'iac', 'rxte', 'iac80']","['x-ray source', 'grb']"
131_gcn,['telescope not found'],['grb']
135_gcn,['fast'],['grb']
133_gcn,['bepposax'],['grb']
132_gcn,['rxte'],['source not found']
136_gcn,['palomar'],['grb']
137_gcn,['telescope not found'],"['grb', 'bl lac', 'quasar']"
139_gcn,['telescope not found'],"['grb', 'galaxy', 'star']"
138_gcn,"['rxte', 'rosat']","['x-ray source', 'grb']"
140_gcn,['telescope not found'],['total']
142_gcn,['rxte'],"['variable star', 'star']"
143_gcn,"['rxte', 'bepposax']","['grb', 'total']"
141_gcn,"['most', 'bepposax']","['grb', 'grb 970508', 'radio source', 'galaxy', 'total', 'star']"
144_gcn,"['most', 'gamma']","['variable star', 'grb', 'star']"
31_atel,"['most', 'gamma']","['grb', 'grb980425', 'magnetar', 'galaxy']"
145_gcn,"['rxte', 'bepposax']","['x-ray source', 'grb']"
146_gcn,"['rxte', 'bepposax']",['grb']
147_gcn,['telescope not found'],"['grb', 'sao', 'galaxy', 'star']"
148_gcn,['palomar'],"['grb', 'sao', 'galaxy', 'total']"
149_gcn,['palomar'],['grb']
150_gcn,['telescope not found'],"['grb', 'grb971214', 'sao', 'galaxy', 'star']"
151_gcn,['telescope not found'],"['grb970508', 'galaxy', 'total']"
152_gcn,['very long baseline array'],"['grb', 'radio source', 'galaxy']"
153_gcn,"['bepposax', 'gamma', 'fast']",['gamma-ray burst']
35_atel,['telescope not found'],['source not found']
34_atel,['hubble'],['star']
36_atel,"['rxte', 'ariel v']","['total', 'ariel']"
37_atel,['rxte'],"['total', 'black hole']"
154_gcn,['most'],['grb']
155_gcn,['bepposax'],"['grb', 'star']"
156_gcn,['telescope not found'],"['x-ray source', 'grb980425', 'galaxy', 'total']"
157_gcn,['telescope not found'],"['grb', 'star']"
158_gcn,['bepposax'],"['supernova', 'grb980425']"
159_gcn,"['bepposax', 'rxte', 'gamma']","['gamma-ray burst', 'grb']"
160_gcn,['rxte'],['source not found']
161_gcn,['telescope not found'],"['galaxy', 'grb']"
162_gcn,['telescope not found'],['grb']
163_gcn,"['rxte', 'palomar']",['grb']
164_gcn,"['rxte', 'u.s. naval observatory']",['grb']
165_gcn,['rxte'],['total']
166_gcn,['telescope not found'],['grb']
167_gcn,['telescope not found'],['source not found']
168_gcn,['synthesis telescope'],"['grb', 'radio synthesis telescope']"
169_gcn,['bepposax'],"['grb', 'sun', 'grb981226']"
171_gcn,"['rxte', 'u.s. naval observatory']","['grb', 'radio source', 'total']"
170_gcn,['very large array'],"['grb', 'radio source']"
172_gcn,"['bepposax', 'anglo-australian telescope']",['grb']
173_gcn,['bepposax'],"['x-ray source', 'grb', 'grb981226']"
175_gcn,['palomar'],['grb']
174_gcn,"['most', 'bepposax']",['grb']
176_gcn,['telescope not found'],"['grb', 'radio source', 'galaxy', 'star']"
179_gcn,['new technology telescope'],"['grb', 'radio source', 'galaxy', 'total']"
180_gcn,['very large array'],"['x-ray source', 'grb']"
177_gcn,"['most', 'bepposax', 'ogle']","['galaxy', 'grb981226']"
178_gcn,['telescope not found'],['source not found']
182_gcn,['palomar'],"['grb', 'galaxy', 'total', 'star']"
183_gcn,['synthesis telescope'],"['x-ray source', 'grb', 'radio synthesis telescope']"
184_gcn,['bepposax'],"['x-ray source', 'grb981226']"
181_gcn,['bepposax'],"['grb', 'cloud', 'total', 'star']"
186_gcn,['hipparcos'],"['grb', 'star']"
185_gcn,['bepposax'],['grb981226']
188_gcn,['james clerk maxwell telescope'],['grb']
187_gcn,['james clerk maxwell telescope'],"['grb', 'radio source']"
189_gcn,['gamma'],"['grb', 'galaxy', 'star']"
190_gcn,"['bepposax', 'nordic optical telescope']","['grb', 'galaxy', 'star']"
191_gcn,['palomar'],"['grb', 'radio source']"
192_gcn,['nordic optical telescope'],"['grb', 'radio source', 'optical source']"
193_gcn,['telescope not found'],['source not found']
194_gcn,"['rxte', 'u.s. naval observatory']","['grb', 'radio source', 'total']"
195_gcn,['telescope not found'],"['grb', 'radio source', 'galaxy']"
196_gcn,['telescope not found'],"['grb', 'galaxy', 'total', 'optical source']"
197_gcn,['most'],"['grb', 'supernova', 'grb980425']"
198_gcn,['most'],"['grb', 'grb 980425']"
200_gcn,['very large array'],"['grb', 'grb 990123']"
204_gcn,['bepposax'],"['grb', 'cloud', 'grb 990123']"
199_gcn,['bepposax'],['source not found']
201_gcn,"['most', 'bepposax', 'palomar']","['grb', 'grb 990123', 'galaxy']"
203_gcn,['bepposax'],['x-ray source']
202_gcn,['telescope not found'],['source not found']
205_gcn,['telescope not found'],"['grb', 'grb 990123']"
209_gcn,['bepposax'],"['grb', 'sao', 'galaxy', 'star']"
208_gcn,['palomar'],"['grb', 'grb 990123']"
207_gcn,"['bepposax', 'palomar']","['grb', 'grb 990123', 'star']"
210_gcn,['telescope not found'],['source not found']
211_gcn,['telescope not found'],"['grb', 'radio source', 'grb 990123']"
212_gcn,['westerbork synthesis radio telescope'],"['grb', 'radio source', 'grb 990123']"
213_gcn,['palomar'],"['grb', 'grb 990123', 'galaxy']"
206_gcn,"['bepposax', 'palomar']","['grb', 'grb 990123', 'galaxy']"
219_gcn,['gamma'],"['grb', 'grb 990123', 'gamma-ray burst', 'galaxy']"
220_gcn,['telescope not found'],"['grb', 'grb 990123', 'galaxy']"
225_gcn,['telescope not found'],['source not found']
217_gcn,['telescope not found'],"['grb', 'grb 990123', 'galaxy']"
224_gcn,['bepposax'],"['grb', 'grb 990123']"
223_gcn,['telescope not found'],"['grb', 'grb 990123', 'galaxy']"
218_gcn,['palomar'],"['grb', 'grb 990123', 'star']"
221_gcn,['gamma'],"['grb', 'grb 990123', 'galaxy']"
216_gcn,"['most', 'gamma']","['grb', 'grb 990123', 'galaxy']"
215_gcn,['telescope not found'],['galaxy']
214_gcn,['telescope not found'],"['grb', 'grb 990123', 'galaxy', 'total', 'star']"
222_gcn,['bepposax'],['source not found']
226_gcn,['telescope not found'],"['grb', 'grb 990123', 'galaxy']"
227_gcn,['telescope not found'],"['grb', 'grb 990123', 'star']"
228_gcn,['asca'],['source not found']
229_gcn,['bepposax'],['source not found']
230_gcn,['telescope not found'],"['grb', 'grb 990123']"
231_gcn,['gamma'],"['grb', 'grb 990123']"
232_gcn,['bepposax'],"['grb', 'grb 990123', 'total']"
233_gcn,['telescope not found'],"['galaxy', 'star']"
234_gcn,['most'],"['grb', 'grb 990123', 'galaxy']"
235_gcn,['telescope not found'],"['grb', 'grb 990123']"
237_gcn,['telescope not found'],"['grb', 'grb 990123']"
236_gcn,['gamma'],"['grb', 'grb 990123', 'galaxy', 'gamma-ray burst']"
238_gcn,['most'],"['low mass', 'grb', 'grb 990123', 'galaxy']"
239_gcn,"['gamma', 'very large array']","['grb', 'grb 990123', 'gamma-ray burst', 'radio source']"
240_gcn,['telescope not found'],"['grb', 'grb 990123', 'star']"
241_gcn,"['most', 'gamma']","['grb971214', 'grb', 'sun']"
242_gcn,['palomar'],"['grb', 'grb 990123', 'galaxy', 'total', 'star']"
243_gcn,"['most', 'palomar']","['grb', 'grb 990123', 'galaxy', 'star']"
244_gcn,['ryle telescope'],['source not found']
245_gcn,['gamma'],"['grb', 'grb 990123']"
246_gcn,['telescope not found'],"['grb', 'grb 990123']"
247_gcn,['gamma'],"['grb', 'cloud', 'gamma-ray burst']"
248_gcn,['telescope not found'],"['grb', 'grb 990123', 'galaxy', 'total', 'star']"
249_gcn,['telescope not found'],"['grb', 'grb 990123', 'galaxy']"
250_gcn,['telescope not found'],['source not found']
251_gcn,['telescope not found'],"['grb', 'cloud', 'grb 990123', 'galaxy']"
252_gcn,['astron'],"['grb', 'grb 990123', 'star']"
253_gcn,['gamma'],['grb']
254_gcn,['telescope not found'],"['grb', 'grb 990123']"
255_gcn,['palomar'],"['grb', 'grb 990123', 'galaxy', 'total']"
